rating,movie,year,country,rating_ball,overview,director,screenwriter,actors,url_logo
189,Ип Ман ,2008,Гонконг,8.258,Ип Ман — признанный мастер кунг-фу; живущий в Фошане; городе; славном своими школами боевых искусств. Ип Ман практикует вин-чун и; хотя является сильнейшим бойцом города; своей школы у него нет; и он не берет учеников. Дома он проводит лишь легкие спарринги с приятелями. Проходят годы; Китай захватывают воинственные японцы; и Ип Ман оказывается одним из немногих; кто даже в жесточайших условиях оккупации не забывает о чести; достоинстве и; конечно же; мудрости; которую несет в себе кунг-фу., Уилсон Ип, Эдмонд Вон;  Чан Тай-Ли,Донни Йен; Саймон Ям; Линн Хун; Хироюки Икэути; Гордон Лам,'https://st.kp.yandex.net/images/film_iphone/iphone360_409507.jpg'
190,Новый кинотеатр «Парадизо» ,1988,Италия,7.958,Это рассказ о счастливых днях; когда итальянское кино еще не знало о том; что такое «кризис итальянского кинематографа». В центре разделенной как бы на три части картины — сицилийский мальчишка Сальваторе., Джузеппе Торнаторе, Джузеппе Торнаторе;  Ванна Паоли;  Ричард Эпкар,Антонелла Аттили; Энцо Каннавале; Иза Даниэли; Лео Гульотта; Марко Леонарди,'https://st.kp.yandex.net/images/film_iphone/iphone360_424.jpg'
191,Шрэк ,2001,США,7.988,Жил да был в сказочном государстве большой зеленый великан по имени Шрек. Жил он в гордом одиночестве в лесу; на болоте; которое считал своим. Но однажды злобный коротышка — лорд Фаркуад; правитель волшебного королевства; безжалостно согнал на Шреково болото всех сказочных обитателей.И беспечной жизни зеленого великана пришел конец. Но лорд Фаркуад пообещал вернуть Шреку болото; если великан добудет ему прекрасную принцессу Фиону; которая томится в неприступной башне; охраняемой огнедышащим драконом…, Эндрю Адамсон;  Вики Дженсон, Тед Эллиот;  Терри Россио;  Джо Стиллман; ...,Майк Майерс; Эдди Мёрфи; Кэмерон Диаз; Джон Литгоу; Венсан Кассель,'https://st.kp.yandex.net/images/film_iphone/iphone360_430.jpg'
192,Иллюзионист ,2005,США,8.011,"Вена. Начало 20 века. В городе появляется загадочный человек; называвший себя иллюзионистом Эйзенхаймом. Он показывает публике невиданные фокусы; которые кажутся не иначе как волшебством. 

Слава о необыкновенном чародее доходит до кронпринца Леопольда; который почтил своим присутствием одно из представлений Эйзенхайма. Леопольда сопровождает его будущая невеста Софи. Её появление в зале дает толчок для целой вереницы необъяснимых событий; корни которых уходят в прошлое…", Нил Бёргер, Нил Бёргер;  Стивен Миллхаузер,Эдвард Нортон; Пол Джаматти; Джессика Бил; Руфус Сьюэлл; Эдди Марсан,'https://st.kp.yandex.net/images/film_iphone/iphone360_102198.jpg'
193,Последний самурай ,2003,США,8.065,Действие разворачивается в Японии 70-ых годов девятнадцатого века. Капитан Нейтон Альгрен; уважаемый американский военный офицер; нанят Императором Японии для обучения первой армии Страны Восходящего Солнца современному искусству ведения боевых действий.Император пытается искоренить древних воинов-самураев; готовясь к более прозападной политике правительства…, Эдвард Цвик, Джон Логан;  Эдвард Цвик;  Маршалл Херсковиц,Кэн Ватанабэ; Том Круз; Коюки; Уильям Этертон; Тони Голдуин,'https://st.kp.yandex.net/images/film_iphone/iphone360_6764.jpg'
194,Звёздочки на земле ,2007,Индия,8.123,Маленький мальчик 8 лет Ишан Авасти с рождения немного отличается от других детей. Ему дается с трудом то; что у других получается очень легко. Мир не понимает этого ребенка; как и его собственные родители. Когда Ишан в третий раз проваливает экзамены в школе; его отец в наказание отправляет мальчика в школу-интернат. Одиночество губит ребенка; он осуждает себя за расставание с родителями; но и их не может простить. Однажды в жизни Ишана появляется временный учитель рисования Рам Никум — единственный; кто понимает этого ребенка. Рам ставит перед собой цель изменить жизнь мальчика и отношение к нему., Аамир Кхан;  Амол Гуптэ, Амол Гуптэ,Даршил Сафари; Аамир Кхан; Тиска Чопра; Випин Шарма; Сачет Енгинир,'https://st.kp.yandex.net/images/film_iphone/iphone360_280562.jpg'
195,Гарри Поттер и узник Азкабана ,2004,Великобритания,8.139,В третьей части истории о юном волшебнике полюбившиеся всем герои — Гарри Поттер; Рон и Гермиона — возвращаются уже на третий курс школы чародейства и волшебства Хогвартс. На этот раз они должны раскрыть тайну узника; сбежавшего из зловещей тюрьмы Азкабан; чье пребывание на воле создает для Гарри смертельную опасность…, Альфонсо Куарон, Стивен Кловз;  Дж.К. Роулинг,Дэниэл Рэдклифф; Руперт Гринт; Эмма Уотсон; Робби Колтрейн; Том Фелтон,'https://st.kp.yandex.net/images/film_iphone/iphone360_322.jpg'
196,Легенда №17 ,2012,Россия,7.967,2 сентября 1972 года. Монреаль. Хоккейная сборная СССР с разгромным счетом 7:3 победила канадских профессионалов из НХЛ в стартовом матче эпохальной Суперсерии СССР-Канада. Это была не просто игра; это была битва за свою страну; которая перевернула мировое представление о хоккее.Теперь весь мир знал его просто по номеру 17. Валерий Харламов; забивший в том матче 2 шайбы; мгновенно взлетел на вершину славы. Сбылась его мечта — упорство; спортивный талант и суровые уроки великого тренера Анатолия Тарасова сделали из «номера 17» легенду мирового хоккея., Николай Лебедев, Михаил Местецкий;  Николай Куликов;  Николай Лебедев,Данила Козловский; Олег Меньшиков; Светлана Иванова; Владимир Меньшов; Александр Лобанов,'https://st.kp.yandex.net/images/film_iphone/iphone360_601564.jpg'
197,Берегись автомобиля ,1966,СССР,8.167,Эта удивительная история вполне может считаться фантастической. Скромный и застенчивый страховой агент; актер самодеятельного театра Юрий Деточкин оказывается непримиримым борцом за справедливость. Правда; для правосудия; представляемого актером того же театра; а в миру — следователем Подберезовиковым; этот Робин Гуд представляется опасным; хитроумным; изобретательным и неуловимым преступником…, Эльдар Рязанов, Эмиль Брагинский;  Эльдар Рязанов,Иннокентий Смоктуновский; Олег Ефремов; Любовь Добржанская; Анатолий Папанов; Ольга Аросева,'https://st.kp.yandex.net/images/film_iphone/iphone360_46089.jpg'
198,Ирония судьбы; или С легким паром! ,1975,СССР,8.204,Пошли друзья в баню попариться; по традиции смыть с себя все плохое; чтобы встретить Новый Год чистыми; а «напарились» до такой степени (пивом и водкой); что отправили в Ленинград не того., Эльдар Рязанов, Эмиль Брагинский;  Эльдар Рязанов,Андрей Мягков; Барбара Брыльска; Юрий Яковлев; Александр Ширвиндт; Георгий Бурков,'https://st.kp.yandex.net/images/film_iphone/iphone360_77331.jpg'
199,Брат 2 ,2000,Россия,8.096,Участвуя в программе на телевидении; Данила Багров встречает своих друзей по Чечне. Одного из них внезапно убивают. Данила знает; что у того были неприятности из-за брата-хоккеиста в Америке. Данила должен разобраться. Он вылетает в Америку и для компании берёт с собой брата. Теперь его фотография ходит по рукам русской и американской мафии. Новоявленные «Аль Капоне» понимают; что нарвались на профессионала…, Алексей Балабанов, Алексей Балабанов,Сергей Бодров мл.; Виктор Сухоруков; Сергей Маковецкий; Ирина Салтыкова; Кирилл Пирогов,'https://st.kp.yandex.net/images/film_iphone/iphone360_41520.jpg'
200,Трасса 60 ,2001,Канада,8.016,В легендах и мифах есть персонажи; главная задача которых — исполнять желания. У арабов это — джинны; у ирландцев — лепреконы; у китайцев — драконы; у европейцев — феи и лесные духи. А в Америке есть некто О. Ж. Грант — довольно странный и забавный человек; который тоже может исполнить любое желание. Но будьте осторожны; он очень проказлив! Вот его-то и встречает однажды Нил Оливер.Нил вполне доволен своей жизнью: у него обеспеченные родители; симпатичная невеста и впереди блестящая карьера юриста. Но с недавних пор по ночам ему стала сниться загадочная девушка; которую он никак не может выбросить из головы.Чудаковатый Грант приглашает Нила совершить поездку по таинственной автостраде 60; которой нет ни на одной карте США. И Нил бросает всё и пускается в самое невероятное и рискованное путешествие в своей жизни; решив во что бы то ни стало разыскать незнакомку из своих снов., Боб Гейл, Боб Гейл,Джеймс Марсден; Гари Олдман; Эми Смарт; Курт Рассел; Мэттью Эдисон,'https://st.kp.yandex.net/images/film_iphone/iphone360_3563.jpg'
201,Цирк ,1928,США,8.015,Грустная комедия о приключениях Чарли в составе гастролирующего цирка., Чарльз Чаплин, Чарльз Чаплин,Чарльз Чаплин; Мерна Кеннеди; Аль Эрнест Гарсиа; Гарри Крокер; Джордж Дэвис,'https://st.kp.yandex.net/images/film_iphone/iphone360_2119.jpg'
202,Жестокий романс ,1984,СССР,8.082,Действие разворачивается на берегу Волги в вымышленном провинциальном городке Бряхимове в 1877-1878 годах. Харита Игнатьевна Огудалова — дворянка хорошей и уважаемой фамилии; вдова с тремя взрослыми дочерьми; обеднела после смерти мужа; но делает всё; чтобы устроить жизнь дочерей и выдать их замуж за достаточно богатых и знатных женихов. В отсутствие средств она держит открытый дом; рассчитывая; что общество красивых и музыкальных барышень привлечёт холостых мужчин; достаточно богатых; чтобы жениться по любви на бесприданницах.Единственная «непристроенная» дочь Хариты — самая младшая — Лариса Дмитриевна Огудалова; к которой неравнодушны сразу несколько состоятельных господ; среди которых Сергей Сергеевич Паратов — красивый; обаятельный; франтоватый; легкомысленный и богатый барин., Эльдар Рязанов, Эльдар Рязанов;  Александр Островский,Лариса Гузеева; Андрей Мягков; Алиса Фрейндлих; Никита Михалков; Алексей Петренко,'https://st.kp.yandex.net/images/film_iphone/iphone360_45314.jpg'
203,Загадочная история Бенджамина Баттона ,2008,США,8.045,Фильм о мужчине; который родился в возрасте 80-ти лет; а затем… начал молодеть. Этот человек; как и каждый из нас; не мог остановить время. Его путь в ХХI век; берущий свое начало в Новом Орлеане в 1918-м году в самом конце Первой Мировой войны; будет столь необычен; что вряд ли мог иметь место в жизни кого-либо другого. Фильм повествует о судьбе уникального человека; о людях и событиях; что ждут его впереди; о любви; которую он обретет и потеряет; о радостях жизни и грусти потерь и о том; что остается с нами вне времени., Дэвид Финчер, Эрик Рот;  Робин Суикорд;  Фрэнсис Скотт Фицджеральд,Брэд Питт; Кейт Бланшетт; Джулия Ормонд; Тараджи П. Хенсон; Джейсон Флеминг,'https://st.kp.yandex.net/images/film_iphone/iphone360_81555.jpg'
204,Хоббит: Пустошь Смауга ,2013,США,7.970,Продолжение путешествия хоббита Бильбо Бэггинса; волшебника Гэндальфа и 13 отважных гномов. Их компания должна добраться до Одинокой горы. А там они встретятся с величайшей опасностью из всех — созданием куда более ужасающим; чем все их прошлые противники; чудовищем; которое проверит на прочность не только их мужество; но крепость их дружбы и правильность выбранного пути; — драконом Смаугом., Питер Джексон, Фрэн Уолш;  Филиппа Бойенс;  Питер Джексон; ...,Мартин Фриман; Ричард Армитедж; Иэн Маккеллен; Эванджелин Лилли; Орландо Блум,'https://st.kp.yandex.net/images/film_iphone/iphone360_408876.jpg'
205,Пока не сыграл в ящик ,2007,США,8.049,"Именно так решили два больных раком соседа по больничной палате; когда услышали свой приговор. Один из них вспыльчивый миллиардер; а второй эрудированный автомеханик. Они составляют список дел; которые необходимо сделать прежде; чем они сыграют в ящик; и отправляются в кругосветное путешествие; путешествие всей своей жизни. 

Прыжки с парашютом? Посмотрим. Гонки на раритетных автомобилях? Сделано. Посмотреть на пирамиды? Отлично. Открыть радость жизни прежде; чем станет слишком поздно? Точно!", Роб Райнер, Джастин Закэм,Джек Николсон; Морган Фриман; Шон Хейс; Беверли Тодд; Роб Морроу,'https://st.kp.yandex.net/images/film_iphone/iphone360_258885.jpg'
206,Хулиганы ,2005,США,8.026,Студент факультета журналистики Мэтт Бакнер отчислен из Гарварда за преступление; которого не совершал. Его многообещающая карьера пошла коту под хвост; его будущее туманно. В поисках убежища молодой человек бежит в Лондон к своей замужней сестре Шэннон. Её муж знакомит Мэтта со своим младшим братом Питом. Сдружившись с Питом; Мэтт открывает для себя мир футбола. Здесь он находит новых друзей; новые неприятности и оказывается в компании безумных футбольных фанатов; готовых на алтарь своей страсти бросить любую жертву., Лекси Александр, Лекси Александр;  Дуги Бримсон;  Джош Шелов,Элайджа Вуд; Чарли Ханнэм; Клэр Форлани; Марк Уоррен; Лео Грегори,'https://st.kp.yandex.net/images/film_iphone/iphone360_77444.jpg'
207,Тэмпл Грандин ,2010,США,7.936,Биографический фильм про Тэмпл Грандин; аутистку; которая стала одной из ведущих учёных в области сельскохозяйственной промышленности по гуманному обращению со скотом., Мик Джексон, Кристофер Монгер;  Мерритт Джонсон;  Тэмпл Грандин; ...,Клэр Дэйнс; Джулия Ормонд; Дэвид Стрэтэйрн; Кэтрин О’Хара; Стефани Фэраси,'https://st.kp.yandex.net/images/film_iphone/iphone360_424153.jpg'
208,Гарри Поттер и философский камень ,2001,Великобритания,8.203,Жизнь десятилетнего Гарри Поттера нельзя назвать сладкой: родители умерли; едва ему исполнился год; а от дяди и тёти; взявших сироту на воспитание; достаются лишь тычки да подзатыльники. Но в одиннадцатый день рождения Гарри всё меняется. Странный гость; неожиданно появившийся на пороге; приносит письмо; из которого мальчик узнаёт; что на самом деле он — волшебник и зачислен в школу магии под названием Хогвартс. А уже через пару недель Гарри будет мчаться в поезде Хогвартс-экспресс навстречу новой жизни; где его ждут невероятные приключения; верные друзья и самое главное — ключ к разгадке тайны смерти его родителей., Крис Коламбус, Стивен Кловз;  Дж.К. Роулинг,Дэниэл Рэдклифф; Руперт Гринт; Эмма Уотсон; Ричард Харрис; Алан Рикман,'https://st.kp.yandex.net/images/film_iphone/iphone360_689.jpg'
209,Ford против Ferrari ,2019,США,8.121,В начале 1960-х Генри Форд II принимает решение улучшить имидж компании и сменить курс на производство более модных автомобилей. После неудавшейся попытки купить практически банкрота Ferrari американцы решают бросить вызов итальянским конкурентам на трассе и выиграть престижную гонку 24 часа Ле-Мана. Чтобы создать подходящую машину; компания нанимает автоконструктора Кэррола Шэлби; а тот отказывается работать без выдающегося; но; как считается; трудного в общении гонщика Кена Майлза. Вместе они принимаются за разработку впоследствии знаменитого спорткара Ford GT40., Джеймс Мэнголд, Джез Баттеруорт;  Джон-Генри Баттеруорт;  Джейсон Келлер,Кристиан Бэйл; Мэтт Дэймон; Катрина Балф; Трэйси Леттс; Джон Бернтал,'https://st.kp.yandex.net/images/film_iphone/iphone360_835086.jpg'
210,Дурак ,2014,Россия,8.057,Жизни 800 человек общежития висят буквально на волоске из-за безразличия местных властей. В любую секунду здание может рухнуть. И кто бы мог подумать; что судьбы людей окажутся в руках простого сантехника. Но удастся ли ему что-то изменить и предотвратить катастрофу?, Юрий Быков, Юрий Быков,Артем Быстров; Наталья Суркова; Юрий Цурило; Борис Невзоров; Кирилл Полухин,'https://st.kp.yandex.net/images/film_iphone/iphone360_808639.jpg'
211,Я – Сэм ,2001,США,8.002,Сэм Доусон; 40-летний мужчина с уровнем интеллекта 7-летнего ребёнка; работающий официантом. Ему трудно было бы выжить с такими данными; если бы не дочь; плод случайной связи. Люси выросла вполне нормальным человеком и могла бы заботиться о своём отце; но местная социальная служба забрала её у отца. Сэм хочет вернуть свою дочь. Для ведения этого дела он нанимает адвоката Риту Харрисон. По мере работы над этим делом Рита сама получает несколько уроков о том; что значит быть родителем…, Джесси Нельсон, Кристин Джонсон;  Джесси Нельсон,Шон Пенн; Мишель Пфайффер; Дакота Фаннинг; Дайэнн Уист; Лоретта Дивайн,'https://st.kp.yandex.net/images/film_iphone/iphone360_706.jpg'
212,Гарри Поттер и Дары Смерти: Часть II ,2011,США,8.092,В грандиозной последней главе битва между добрыми и злыми силами мира волшебников перерастает во всеобщую войну. Ставки ещё никогда не были так высоки; а поиск убежища — столь сложен. И быть может именно Гарри Поттеру придется пожертвовать всем в финальном сражении с Волан-де-Мортом. Способен ли наш герой спасти мир? И всё закончится здесь., Дэвид Йейтс, Стивен Кловз;  Дж.К. Роулинг,Дэниэл Рэдклифф; Руперт Гринт; Эмма Уотсон; Хелена Бонем Картер; Робби Колтрейн,'https://st.kp.yandex.net/images/film_iphone/iphone360_407636.jpg'
213,Апокалипсис ,2006,США,7.961,"В фильме показана жизнь цивилизации майя до прихода испанских конкистадоров: жестокие войны с соседними племенами; человеческие жертвоприношения; загадочные мистические ритуалы. 

В один день рушится мир индейца по имени Лапа Ягуара. Его деревню захватывает соседнее племя; уничтожая хижины; забирая местных жителей в плен. Его ведут в город; чтобы принести в жертву богам. Перед лицом неминуемой смерти Лапа Ягуара должен побороть свои самые сильные страхи и совершить отчаянный рывок; чтобы спасти то; что ему дорого…", Мэл Гибсон, Мэл Гибсон;  Фарад Сафиниа,Руди Янгблад; Далия Эрнандес; Джонатан Брюэр; Моррис Бердйеллоухэд; Карлос Эмилио Баэс,'https://st.kp.yandex.net/images/film_iphone/iphone360_160977.jpg'
214,Подмена ,2008,США,7.935,Действие картины развивается в Лос-Анджелесе 20-х годов прошлого столетия. Обратившись в полицию с заявлением об исчезновении ребенка; главная героиня вскоре получает своего сына; но сообщает полицейским; что; несмотря на внешнее сходство; это не ее сын. Вместо помощи несчастная мать получает прописку в палате клиники для сумасшедших…, Клинт Иствуд, Дж. Майкл Стражински,Анджелина Джоли; Джон Малкович; Джеффри Донован; Гэттлин Гриффит; Майкл Келли,'https://st.kp.yandex.net/images/film_iphone/iphone360_279880.jpg'
215,Рататуй ,2007,США,7.957,Крыс Реми обладает уникальным вкусом. Он готов рисковать собственной жизнью; чтобы посмотреть любимое кулинарное шоу и раздобыть какую-нибудь приправку или просто свежий продукт. Реми живет со своими сородичами; которые его не понимают и не принимают его увлечения кулинарией. Когда Реми случайно попадает на кухню шикарного ресторана; он решает воспользоваться выпавшим ему шансом и проверить свои навыки. На эту же кухню попадает и юный Лингвини. Всё; на что он может расчитывать — это должность уборщика. Но он тоже получает свой шанс…, Брэд Бёрд;  Ян Пинкава, Брэд Бёрд;  Ян Пинкава;  Джим Капобьянко; ...,Пэттон Освальт; Иэн Холм; Лу Романо; Брайан Деннехи; Питер Сон,'https://st.kp.yandex.net/images/film_iphone/iphone360_89514.jpg'
216,Песнь моря ,2014,Ирландия,8.088,Невероятная история Бена и его сестренки Сирши. Вместе они пускаются в фантастическое путешествие сквозь исчезающий мир древних легенд и магии., Томм Мур, Уилл Коллинз;  Томм Мур,Дэвид Роул; Брендан Глисон; Лиза Хэннигэн; Финола Флэнаган; Люси О’Коннелл,'https://st.kp.yandex.net/images/film_iphone/iphone360_714248.jpg'
217,Ураган ,1999,США,7.960,Фильм основан на реальных фактах из жизни боксера Рубина Картера по прозвищу «Ураган» — главного претендента на чемпионский титул в среднем весе в июне 1966 года. После убийства трех человек в одном из баров Нью-Джерси его обвинили в этом страшном преступлении и приговорили к трем пожизненным тюремным срокам., Норман Джуисон, Эрмиан Бернштейн;  Дэн Гордон;  Рубин Картер; ...,Дензел Вашингтон; Виселос Реон Шеннон; Дебора Кара Ангер; Лив Шрайбер; Джон Ханна,'https://st.kp.yandex.net/images/film_iphone/iphone360_4914.jpg'
218,Медведь ,1988,Франция,7.993,Среди прекрасных и величественных пейзажей Британской Колумбии случилась трогательная история о медвежонке; потерявшем свою мать и предоставленным самому себе; в то время как двое охотников продолжают рыскать по лесу в поисках добычи.Судьба сводит вместе осиротевшего малыша и огромного раненого медведя. Непросто складываются их взаимоотношения; но охотники с ружьями и злыми собаками оказываются куда страшнее. Столкновение людей и животных неизбежно.А зритель фильма оказывается в «медвежьей шкуре» и наблюдает за людьми с позиции главного героя., Жан-Жак Анно, Жерар Браш;  Джеймс Оливер Кёрвуд,медведь Барт; Чеки Карио; Джек Уоллес; Андре Лакомб,'https://st.kp.yandex.net/images/film_iphone/iphone360_22907.jpg'
219,Крепкий орешек ,1988,США,8.019,В суперсовременном небоскребе Лос-Анджелеса полицейский Джон Макклейн ведет смертельную схватку с бандой политических террористов; взявших в заложники два десятка человек; в число которых попадает и его жена. Началось все с того; что парень приехал в город к жене; оказался на рождественском приеме; а кончилось настоящей войной…, Джон МакТирнан, Джеб Стюарт;  Стивен Е. де Соуза;  Родерик Торп,Брюс Уиллис; Алан Рикман; Бонни Беделиа; Реджинальд ВелДжонсон; Пол Глисон,'https://st.kp.yandex.net/images/film_iphone/iphone360_471.jpg'
220,Три идиота ,2009,Индия,8.056,Двое друзей отправляются на поиски пропавшего приятеля. В этом путешествии им предстоит постоянно ввязываться в уже давно забытые споры; расстроить чужую свадьбу и побывать на похоронах. Их дорога проходит через опасные места. И тут начинается еще одно не совсем обычное путешествие друзей дорогами их памяти. Они вспоминают своего приятеля; неудержимого и свободомыслящего Ранчо; который каким-то удивительным образом ворвался в их жизнь и все в ней изменил. Они вспоминают те времена; когда все они жили в студенческом общежитии. Вспоминают о том; как зарождалась любовь Ранчо к бойкой девушке Пиа и о конфликте Ранчо с его наставником; настоящим тираном Виру Сахастрабудхе. И вот однажды Ранчо вдруг исчезает… Кем он был на самом деле? Откуда он родом? Почему исчез?, Раджкумар Хирани, Абхиджит Джоши;  Раджкумар Хирани;  Видху Винод Чопра; ...,Аамир Кхан; Мадхаван; Шарман Джоши; Карина Капур; Боман Ирани,'https://st.kp.yandex.net/images/film_iphone/iphone360_423210.jpg'
221,Золотая лихорадка ,1925,США,8.057,История о злоключениях извечного любимца публики; маленького бродяги; который на этот раз отправляется на золотые прииски Аляски и как всегда порадует вас бесконечным калейдоскопом трюков и комических ситуаций., Чарльз Чаплин, Чарльз Чаплин,Чарльз Чаплин; Мак Суэйн; Том Мюррэй; Генри Бергман; Малкольм Вейт,'https://st.kp.yandex.net/images/film_iphone/iphone360_478.jpg'
222,Убить пересмешника ,1962,США,8.035,Фильм о юристе из Алабамы; воспитывающем без матери своих двоих детей. Помимо темы расовых предрассудков на Юге; это рассказ о том; как двое детей из мира фантазий делают первые шаги в совершенно иной мир подростков; где уже формируются такие понятия; как благородство; сострадание; справедливость и неравенство.В обстановке экономической депрессии; преисполненной фанатизма и ненависти; мудрый; мягкий; с тихой речью и великолепными манерами алабамский юрист должен защищать в суде афроамериканца; ложно обвиненного в изнасиловании., Роберт Маллиган, Хортон Фут;  Харпер Ли,Грегори Пек; Мэри Бэдам; Филлип Элфорд; Фрэнк Овертон; Брок Питерс,'https://st.kp.yandex.net/images/film_iphone/iphone360_357.jpg'
223,Аватар ,2009,США,7.939,Джейк Салли — бывший морской пехотинец; прикованный к инвалидному креслу. Несмотря на немощное тело; Джейк в душе по-прежнему остается воином. Он получает задание совершить путешествие в несколько световых лет к базе землян на планете Пандора; где корпорации добывают редкий минерал; имеющий огромное значение для выхода Земли из энергетического кризиса., Джеймс Кэмерон, Джеймс Кэмерон,Сэм Уортингтон; Зои Салдана; Сигурни Уивер; Стивен Лэнг; Мишель Родригес,'https://st.kp.yandex.net/images/film_iphone/iphone360_251733.jpg'
224,Крупная рыба ,2003,США,7.948,В основу этой приключенческой ленты положен роман Дэниела Уоллеса «Большая рыба: роман мифических пропорций». Умирает отец; о жизни которого сын хочет узнать как можно больше; собирая истории о нем.Сын пытается воссоздать ускользающую жизнь отца в серии легенд и мифов; которые тот придумывает на основе разрозненных фактов. Взлеты и падения в жизни человека в итоге предстают в неожиданном ракурсе., Тим Бёртон, Джон Огаст;  Дэниэл Уоллес,Юэн Макгрегор; Альберт Финни; Билли Крудап; Джессика Лэнг; Хелена Бонем Картер,'https://st.kp.yandex.net/images/film_iphone/iphone360_9617.jpg'
225,Столкновение ,2004,США,7.882,Закон и преступление; порядок и беспредел; защитник и жертва — неизбежное противостояние и столкновение. Полицейские — порядок; законопослушные граждане — закон. Но все ли граждане; слывущие добропорядочными; соблюдают законы; и всем ли представителям закона стоит доверять? Прикрываясь значком полицейского; они вершат беззаконие и из праведников превращаются в изощренных насильников., Пол Хаггис, Пол Хаггис;  Роберт Мореско,Дон Чидл; Мэтт Диллон; Райан Филипп; Терренс Ховард; Сандра Буллок,'https://st.kp.yandex.net/images/film_iphone/iphone360_61297.jpg'
226,Завтра была война ,1987,СССР,8.034,Начало сороковых. Герои фильма — обычные советские старшеклассники. Они учатся в советской школе; стараются быть правильными и идейными комсомольцами-активистами. Но не всегда «правильность»; внушаемая учителями; совпадает с внутренними убеждениями юных душ — им сложно смириться с тем; что их родные и любимые люди оказываются вдруг «врагами народа»., Юрий Кара, Борис Васильев,Сергей Никоненко; Нина Русланова; Вера Алентова; Наталья Негода; Ирина Чериченко,'https://st.kp.yandex.net/images/film_iphone/iphone360_45244.jpg'
227,Звёздные войны: Эпизод 5 – Империя наносит ответный удар ,1980,США,8.127,Борьба за Галактику обостряется в пятом эпизоде космической саги. Войска Императора начинают массированную атаку на повстанцев и их союзников.Хан Соло и принцесса Лейя укрываются в Заоблачном Городе; в котором их и захватывает Дарт Вейдер; в то время как Люк Скайуокер находится на таинственной планете джунглей Дагоба.Там Мастер — джедай Йода обучает молодого рыцаря навыкам обретения Силы. Люк даже не предполагает; как скоро ему придется воспользоваться знаниями старого Мастера: впереди битва с превосходящими силами Императора и смертельный поединок с Дартом Вейдером., Ирвин Кершнер, Ли Брэкетт;  Лоуренс Кэздан;  Джордж Лукас,Марк Хэмилл; Харрисон Форд; Кэрри Фишер; Билли Ди Уильямс; Энтони Дэниелс,'https://st.kp.yandex.net/images/film_iphone/iphone360_338.jpg'
